Character,Text
Tiffania,"So, where are you taking me?"
Filip,"It's a surprise."
Tiffania,"A surprise? What surprise?"
Filip,"I got you something."
Tiffania,"Do tell."
Filip,"Well, if I tell now, it wouldn’t be a surprise, would it?"
Tiffania,"You’re a very, very naughty boy."
Filip,"Stand there. Close your eyes. Open."
Tiffania,"A daisy? Not a rose?"
Filip,"Roses are cliché."
Tiffania,"Daisies are cheap."
Filip,"I can still kiss you, right?"
Tiffania,"Where did it go?"
Filip,"What?"
Tiffania,"My daisy."
Filip,"Thought you didn’t want it?"
Tiffania,"Ugh! Now it smells of pig shit."
Filip,"You’ve been spying on us, you creep?"
Tiffania,"‘Course. Look at her No one’s ever kissed that."
Filip,"Could she even stand up straight to do it?"
Tiffania,"Where you going, crooked girl? We can teach you."
Yennefer,"Leave me alone. Stop."
Tiffania,"I hear your father makes you sleep with pigs."
Yennefer,"Stop."
Tiffania,"Your own family doesn’t even want you."
Istredd,"Who are you?"
Yennefer,"What- what is all this? Am I dead? How did I get here?"
Istredd,"Well, it looks to me like you portalled in."
Yennefer,"I what?"
Istredd,"You know, portalled. From wherever you were to here. The Tower of the Gull. Aretuza. Oh, you’re a virgin."
Yennefer,"I’m sorry. I’m s- I’m sorry."
Istredd,"Your backhand is even more impressive than your magic."
Yennefer,"My what?"
woman,"We’re not supposed to be out here…"
Yennefer,"What’s wrong?"
Istredd,"If you could conjure that portal out of thin air, she’ll be coming for you."
Yennefer,"She? She who? What are you doing?"
Istredd,"Open the door"
Yennefer,"What’s that?"
Istredd,"It’s a- a different kind of portal. One that can’t be tracked. See, the one you made has put a target on your back, but this will take you home. Look, you can trust me."
Yennefer,"What’s your name?"
Istredd,"Istredd. Wait. What’s your-"
Fletcher,"Get out of there, girl."
Yennefer,"I can do it."
Tissaia,"How much for a pig?"
Fletcher,"I’ll be at market tomorrow."
Tissaia,"Well, I’m here today."
Fletcher,"Ten marks."
Tissaia,"How much for this beast?"
Fletcher,"Six."
Tissaia,"Four."
Kaveri,"What are you doing?"
Fletcher,"Sold. Four marks."
Kaveri,"Have you gone mad? You can’t let them have her."
Fletcher,"As I said, sold. Four marks."
Kaveri,"The woman’s a witch. You know what they will do. She’s our daughter."
Fletcher,"She’s no daughter of mine."
Yennefer,"Mother. Please help me."
Tissaia,"Excellent. I’ll be going."
Yennefer,"You can’t take me! I won’t go."
Yennefer,"Let me out! Let me out! Four marks."
soldier 1,"Princess!"
soldier 2,"Princess Cirilla!"
soldier 3,"Princess Cirilla!"
soldier 4,"Come on! Now, Princess!"
soldier 1,"You, check down there."
soldier 3,"Princess?"
soldier 2,"Where are you, Princess?"
soldier 3,"Princess Cirilla!"
soldier 1,"Moving to the stream."
soldier 3,"You, keep your eyes open."
Ciri,"Who’s there? Stop right there. You mean they’re poison? Oh, uh… no, thank you. I don’t eat rat. Wait."
Ciri,"Wh- Where in Cintra did you live? Where are your parents? Why don’t you talk? I haven’t spoken to anybody in three days. I guess… I’m on the run. I’m supposed to be going towards someone, but instead, I’m running from someone else. He has this… this big bird on his head. I don’t know what he wants from me. We should smother the fire. I can’t be caught by him. I can’t."
Ciri,"Look, it’s the Cintran flag. Come on, we’re saved. Rat boy?"
Jaskier,"You think you’re safe / Without a care / But here in Posada / You’d be wise to beware / The pike with the spike / That lurks in your drawers / Or the flying drake / That will fill you with horror / Need old Nan the Hat / To stir up a potion / So that your lady / May get an abortion"
villager 1,"Abort yourself!"
Jaskier,"Oh, oi! Stop! Fuck off!"
villager 2,"Shut up!"
Jaskier,"I’m so glad that I could bring you all together like this."
villager 3,"Sit down and shut up!"
Jaskier,"Unbelievable. I love the way you just… sit in the corner and brood."
Geralt,"I’m here to drink alone."
Jaskier,"Good. Yeah, good. No one else hesitated to comment on the quality of my performance, except… for you. Come on. You don’t want to keep a man with… bread in his pants waiting. You must have some review for me. Three words or less."
Geralt,"They don’t exists."
Jaskier,"What don’t exist?"
Geralt,"The creatures in your song."
Jaskier,"And how would you know? Oh, fun. White hair… big, old loner, two very… very scary-looking swords. I know who you are. You’re the Witcher, Geralt of Rivia. Called it."
Nettly,"A job I’ve got for ya. I beg you. A devil- he’s been stealing all our grain. In advance, I’ll pay you. A hundred ducat."
Geralt,"One fifty."
Nettly,"I’ve no doubt you’ll come through. You take no prisoners, so I hear."
Jaskier,"Ah. Need a hand? I’ve got two. One for each of the, uh, devil’s horns."
Geralt,"Go away."
Jaskier,"I won’t be but a silent back-up. Look, I heard your note, and, yes, you’re right, maybe real adventures would make a better stories. And you, sir, smell chock-full of them. Amongst other things. I mean, what is that? Is that onion? It doesn’t matter. Whatever it is, you smell of death and destiny. Heroics and heartbreak."
Geralt,"It’s onion."
Jaskier,"Right, yeah. Yeah. Ooh, I could be your barker, spreading the tales of Geralt of Rivia, the- the Butcher of Blaviken."
Geralt,"Come here."
Jaskier,"Yeah?"
Geralt,"Come on, Roach."
Tissaia,"Do you know how many people wouldn’t blink if you died? You get to live."
Yennefer,"Who are you?"
Tissaia,"Tissaria de Vries. Rectoress of Aretuza."
Yennefer,"You should’ve let me die. At least I had control over that."
Tissaia,"Oh, that’s adorable piglet. You weren’t taking control. You were losing it. Be in the greenhouse in 20 minutes."
Tissaia,"I sense your terror. And you are right to be afraid. Chaos is the most dangerous thing in this world. It is all around us all the time. Volatile and powerful. But each one of you showed an aptitude for channeling it. Your conduit moment created a new ripple in chaos, reaching me here in Aretuza. Anica, you saved a drowning boy with your mind. Fringilla froze a cat."
Fringilla,"On accident."
Tissaia,"Sabrina turned her mother fat. But just because you are conduits pf chaos does not mean that you are capable of magic."
Anica,"I want to go home."
Tissaia,"This is your home. Listen closely. Your survival depends on it. Magic is organizing chaos. And while oceans of mystery remain, we have deduced that this requires two things. Balance and control. Without them chaos will kill you. This is the simplest of trials to see whether you are worthy of the ascension. Between your flower and your stone lies the balance. Lift your stone without touching it. Use the incantation."
Fringilla,"I’m doing it."
